id_tramite_anterior,descripcion_tramite_anterior,num_orden,id_tramite_siguiente,descripcion_tramite_siguiente
31911,PROPUESTA DE RESOLUCIÓN DE RENUNCIA SIN REINTEGRO,2,31914,RESOLUCIÓN DE RENUNCIA TOTAL SIN REINTEGRO
32300,OK - ART. 116.1.C DE LA LEY DE HACIENDA,1,31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS
31935,RECONOCIMIENTO OBLIGACIÓN EJERCICIOS ANTERIORES,1,32300,OK - ART. 116.1.C DE LA LEY DE HACIENDA
33654,PROPUESTA DE RESOLUCIÓN DE RENUNCIA PARCIAL CON REINTEGRO,1,33655,CÁLCULO DEL REINTEGRO DE LA RENUNCIA
33640,ACUERDO INICIO PROCEDIMIENTO REINTEGRO - INCUMPLIMIENTO,1,33641,TRAMITE DE AUDIENCIA REINTEGRO - INCUMPLIMIENTO
33648,PROPUESTA DE RESOLUCIÓN SIN REINTEGRO - INCUMPLIMIENTO,1,33649,RESOLUCIÓN SIN REINTEGRO - INCUMPLIMIENTO
33652,PROPUESTA DE RESOL. CON REINTEGRO TOTAL - INCUMPLIMIENTO,1,33643,CÁLCULO DE INTERESES DEL REINTEGRO - INCUMPLIMIENTO
33642,PROPUESTA DE RESOL. CON REINTEGRO PARCIAL - INCUMPLIMIENTO,1,33643,CÁLCULO DE INTERESES DEL REINTEGRO - INCUMPLIMIENTO
32301,EXPEDIENTE SUBVENCIÓN COMPLETO,1,31915,PROPUESTA DE DESISTIMIENTO TOTAL (ART. 94)
32301,EXPEDIENTE SUBVENCIÓN COMPLETO,2,31917,APLICACIONES PRESUPUESTARIAS (DOC. A)
32301,EXPEDIENTE SUBVENCIÓN COMPLETO,3,31960,TRÁMITE DE AUDIENCIA
32301,EXPEDIENTE SUBVENCIÓN COMPLETO,4,31926,PROPUESTA DE RESOLUCIÓN DESESTIMATORIA
32301,EXPEDIENTE SUBVENCIÓN COMPLETO,5,32305,EXPEDIENTE ANULADO
31922,RESOLUCIÓN ESTIMATORIA TOTAL,1,31925,DOCUMENTO OK: APLICACIONES PRESUPUESTARIAS
31922,RESOLUCIÓN ESTIMATORIA TOTAL,2,32309,DOC. D COMPROMISO DE GASTO EJERCICIO ANTERIOR
32309,DOC. D COMPROMISO DE GASTO EJERCICIO ANTERIOR,1,31923,NOTIFICACIÓN DE CONCESIÓN
33674,DEVOLUCIÓN A INICIATIVA DEL PERCEPTOR,1,33675,CÁLCULO INTERESES DEVOLUCIÓN A INICIATIVA DEL PERCEPTOR
33677,RESOLUCIÓN DEVOLUCIÓN VOLUNTARIA #VTR_38007_33674_TUM_M#,1,33678,CARTA DE PAGO
31969,RESOLUCION RECURRIDA Y ESTIMADA,1,31917,APLICACIONES PRESUPUESTARIAS (DOC. A)
31910,ENVÍO RESOLUCIÓN CONCESIÓN  A LA BDNS,1,31977,PAGO EFECTIVO
31910,ENVÍO RESOLUCIÓN CONCESIÓN  A LA BDNS,2,31935,RECONOCIMIENTO OBLIGACIÓN EJERCICIOS ANTERIORES
31910,ENVÍO RESOLUCIÓN CONCESIÓN  A LA BDNS,3,31924,PUBLICACIÓN BOLETÍN CONCESIÓN DE SUBVENCIÓN
31910,ENVÍO RESOLUCIÓN CONCESIÓN  A LA BDNS,4,31925,DOCUMENTO OK: APLICACIONES PRESUPUESTARIAS
31910,ENVÍO RESOLUCIÓN CONCESIÓN  A LA BDNS,5,31911,PROPUESTA DE RESOLUCIÓN DE RENUNCIA SIN REINTEGRO
31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS,1,33640,ACUERDO INICIO PROCEDIMIENTO REINTEGRO - INCUMPLIMIENTO
31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS,2,33674,DEVOLUCIÓN A INICIATIVA DEL PERCEPTOR
31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS,3,33654,PROPUESTA DE RESOLUCIÓN DE RENUNCIA PARCIAL CON REINTEGRO
31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS,4,33659,PROPUESTA DE RESOLUCIÓN DE RENUNCIA CON REINTEGRO
31909,ENVÍO RESOLUCIÓN PAGO EFECTIVO A LA BDNS,5,32306,VERIFICACIONES ADMINISTRATIVAS DE SEGUIMIENTO: PRIMER AÑO
33676,PROPUESTA RESOLUCIÓN DEVOLUCIÓN VOLUNTARIA #VTR_38007_33674_TUM_M#,1,33677,RESOLUCIÓN DEVOLUCIÓN VOLUNTARIA #VTR_38007_33674_TUM_M#
31903,INADMISIÓN POR FUERA DE PLAZO,1,31930,NOTIFICACIÓN DE INADMISIÓN POR FUERA DE PLAZO
33661,ENVÍO REINTEGRO A LA BDNS,1,33670,REINTEGRO DE DEUDAS
33662,ENVÍO DEVOLUCIÓN A LA BDNS,1,33670,REINTEGRO DE DEUDAS
32306,VERIFICACIONES ADMINISTRATIVAS DE SEGUIMIENTO: PRIMER AÑO,1,32307,VERIFICACIONES ADMINISTRATIVASDE SEGUIMIENTO 2º AÑO
